Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
AS-TBN46-1,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine1-1,
AS-TBN46-100,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine1-10,
AS-TBN46-99,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine1-9,
AS-TBN46-98,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine1-8,
AS-TBN46-97,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine1-7,
AS-TBN46-96,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine1-6,
AS-TBN46-95,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine1-5,
AS-TBN46-94,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine1-4,
AS-TBN46-93,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine1-3,
AS-TBN46-92,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine1-2,
AS-TBN46-91,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine10-1,
AS-TBN46-90,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine10-10,
AS-TBN46-89,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine10-9,
AS-TBN46-88,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine10-8,
AS-TBN46-87,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine10-7,
AS-TBN46-86,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine10-6,
AS-TBN46-85,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine10-5,
AS-TBN46-84,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine10-4,
AS-TBN46-83,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine10-3,
AS-TBN46-82,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine10-2,
AS-TBN46-81,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine100-1,
AS-TBN46-80,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine100-10,
AS-TBN46-79,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine100-9,
AS-TBN46-78,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine100-8,
AS-TBN46-77,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine100-7,
AS-TBN46-76,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine100-6,
AS-TBN46-75,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine100-5,
AS-TBN46-74,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine100-4,
AS-TBN46-73,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine100-3,
AS-TBN46-72,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine100-2,
AS-TBN46-71,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine11-1,
AS-TBN46-70,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine11-10,
AS-TBN46-69,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine11-9,
AS-TBN46-68,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine11-8,
AS-TBN46-67,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine11-7,
AS-TBN46-66,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine11-6,
AS-TBN46-65,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine11-5,
AS-TBN46-64,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine11-4,
AS-TBN46-63,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine11-3,
AS-TBN46-62,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine11-2,
AS-TBN46-61,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine12-1,
AS-TBN46-60,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine12-10,
AS-TBN46-59,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine12-9,
AS-TBN46-58,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine12-8,
AS-TBN46-57,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine12-7,
AS-TBN46-56,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine12-6,
AS-TBN46-55,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine12-5,
AS-TBN46-54,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine12-4,
AS-TBN46-53,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine12-3,
AS-TBN46-52,"SINE (10, 0.000000, 10.000000, 0.050000, 180)",Float,1,RO,100,,,,,,,,,,Turbine12-2,
